,low,high,open,close,volume,time
45485,1372.98,1372.98,1372.98,1372.98,0.1767,2021-01-30 19:42:00
45486,1372.77,1374.63,1372.77,1374.63,0.4973,2021-01-30 19:43:00
45487,1372.49,1373.69,1373.69,1372.49,0.9611,2021-01-30 19:45:00
45488,1373.16,1373.16,1373.16,1373.16,1.0394,2021-01-30 19:51:00
45489,1371.88,1371.88,1371.88,1371.88,0.30726578,2021-01-30 19:53:00
45490,1373.65,1373.65,1373.65,1373.65,2.5311,2021-01-30 19:56:00
45491,1373.36,1373.87,1373.87,1373.36,0.0685,2021-01-30 19:58:00
45492,1374.51,1377.99,1376.96,1377.99,3.8183,2021-01-30 20:03:00
45493,1378.28,1378.65,1378.28,1378.65,3.8719,2021-01-30 20:05:00
45494,1378.7,1382.57,1378.7,1382.57,2.2319,2021-01-30 20:07:00
45495,1377.99,1377.99,1377.99,1377.99,0.1748,2021-01-30 20:13:00
45496,1379.91,1382.28,1382.28,1380.7,0.14606905,2021-01-30 20:16:00
45497,1383.62,1385.67,1383.62,1385.67,0.5698,2021-01-30 20:20:00
45498,1376.19,1383.09,1376.19,1383.09,3.1486,2021-01-30 20:22:00
45499,1384.03,1387.94,1385.67,1385.85,1.71731981,2021-01-30 20:24:00
45500,1382.66,1386.85,1382.66,1386.85,0.12339228,2021-01-30 20:34:00
45501,1382.79,1383.11,1383.11,1382.79,0.3921,2021-01-30 20:37:00
45502,1385.7,1387.17,1386.75,1386.01,0.6493,2021-01-30 20:38:00
45503,1382.83,1382.83,1382.83,1382.83,0.3864,2021-01-30 20:39:00
45504,1382.8,1382.8,1382.8,1382.8,0.0276,2021-01-30 20:40:00
45505,1385.58,1385.91,1385.59,1385.91,4.0383929,2021-01-30 20:43:00
45506,1382.81,1386.47,1382.81,1386.47,0.23191946,2021-01-30 20:45:00
45507,1382.81,1386.31,1382.81,1386.31,0.13272745,2021-01-30 20:47:00
45508,1382.81,1384.99,1382.81,1384.99,0.2524,2021-01-30 20:50:00
45509,1382.8,1386.1,1386.1,1382.8,1.6003,2021-01-30 20:53:00
45510,1382.79,1382.81,1382.81,1382.79,5.5534,2021-01-30 20:56:00
45511,1372.84,1382.79,1382.79,1372.84,4.6209,2021-01-30 20:57:00
45512,1373.17,1385.08,1373.17,1385.08,0.8076,2021-01-30 20:59:00
45513,1378.43,1385.05,1385.05,1378.43,0.1311,2021-01-30 21:00:00
45514,1375.41,1381.99,1380.73,1375.41,0.1307,2021-01-30 21:04:00
45515,1375.42,1380.97,1380.44,1375.42,0.1614,2021-01-30 21:07:00
45516,1375.38,1375.38,1375.38,1375.38,0.0802,2021-01-30 21:09:00
45517,1373.13,1373.65,1373.43,1373.65,0.2393,2021-01-30 21:10:00
45518,1373.8,1374.55,1374.55,1373.9,1.9749,2021-01-30 21:11:00
